game_title,dev_team,platforms,primary_tags,keywords,game_summary
Spec Ops: The Line,"['Missing Link Games', 'Yager Development']","['Linux', 'PC (Microsoft Windows)', 'PlayStation 3', 'Xbox 360', 'Mac']","['Adventure', 'Shooter', 'Action', 'Stealth', 'Warfare', 'Single player', 'Multiplayer', 'post-apocalyptic', 'elves', 'multiple endings']","['modern warfare', 'helicopter', 'basketball', 'bloody', 'murder', 'shark', 'military', 'goat', 'steam', 'bird', 'achievements', 'multiple endings', 'special forces', 'online', 'hostages', 'building', 'artificial intelligence', 'torture', 'tank', 'camera', 'racism', 'over the shoulder', 'level selection', 'airplane', 'darkness', 'explosion', 'steam achievements', 'digital distribution', 'xbox controller support for pc', 'steam cloud', 'steam leaderboards', 'playstation trophies', 'modern military', 'voice acting', 'bink video', 'polygonal 3d', 'breaking the fourth wall', 'licensed soundtrack', 'collectibles', 'motion blur', 'wasd movement', 'white noise', 'fake in-game advertising', 'corpse', 'retail games with steam activation', 'playstation plus', 'checkpoints', 'moral decisions', 'downloadable content', 'melee', 'kill feed', 'a.i. companion', 'betrayal', 'difficulty level', 'audio logs', 'vending machine interaction', 'post-credits plot twist', 'rock music', 'conveyor belt', 'cover system', 'destructible environment', 'banned', 'central intelligence agency', 'no hud', 'been here before', 'starfish', 'evolving title screen', 'unlockable difficulty level', 'suicide', 'difficulty achievement', 'hallucination', 'game with chapters', 'games on demand', 'squad tactics', 'multiplayer lan', 'plot twist', 'team deathmatch', 'stealth kill', 'banter during gameplay', 'squad based shooter', 'regenerating health', 'compact disc', 'finishing move', 'scripted events', 'aggressive door-opening', 'burning', 'propaganda', 'severed limbs', 'united states army', 'arrival by crash landing', 'context sensitive', 'pax east 2012', 'e3 2012', 'forced slow walking', 'environment as weapons', 'rail shooting segment', 'hero turned evil', 'military jargon', 'e3 2010', 'male protagonist']","A third-person shooter in which three American soldiers led by Capt. Walker are sent to Dubai in order to recover whoever remains of an infantry unit, the 33rd Battalion, until they decide to take action against the militants situated in the city. As they progress, however, the logistical and ethical complexity of their objective deepens, and their perception of themselves, and their enemy, is put into question. The game will follow the story of player character Captain Martin Walker (voiced by Nolan North) as he is sent into a post-apocalyptic Dubai with an elite Delta Force bravo team. Previously, Dubai was a wealthy area with many high profile citizens until catastrophic sandstorms left a majority of the city buried. This caused many to evacuate, leaving only a few behind. One of the people left behind was U.S. Army Colonel John Konrad (a reference to the author of Heart of Darkness, Joseph Conrad), a founding member of Delta Force, who refused to evacuate from a training facility in the city and instead remained behind with the men under his command to help protect the citizens that could not evacuate.

After several weeks of no contact, the Army fears that Col. Konrad and his men are lost to the destruction of the city until a weak distress signal is picked up. This gives the Army reason to deploy the player and their squad, who must infiltrate the city, neutralize outlaws and survive sandstorms as they attempt to determine what happened to Konrad and his men. Through the narrative in the trailer and sound clips from the game's website it is hinted that Konrad may not have entirely genuine motivations for remaining in Dubai against orders."
The Wolf Among Us,['Telltale Games'],"['PC (Microsoft Windows)', 'PlayStation 3', 'Xbox 360', 'Mac']","['Indie', 'Fantasy', 'Point-and-Click', 'aliens', 'Single player', 'Fighting', 'Multiplayer', 'Action', 'Drama', 'Strategy', 'Adventure']","['anthropomorphism', 'based on - comics']","The Wolf Among Us is a five-episode series from the creators of the 2012 Game of the Year: The Walking Dead. Based on Fables (DC Comics/Vertigo), an award-winning comic book series, it is an often violent, mature and hard-boiled thriller where the characters and creatures of myth, lore and legend are real and exist in our world. As Bigby Wolf - The Big Bad Wolf in human form - you will discover that the brutal, bloody murder of a Fable is just a taste of things to come, in a game series where your every decision can have enormous consequences."
The Legend of Zelda: Skyward Sword HD,"['Nintendo', 'Nintendo EAD Software Development Group No.3']",['Nintendo Switch'],"['multiple endings', 'Single player', 'Science fiction', 'female protagonist', 'RPG', 'exploration', 'Drama', 'Adventure', 'side-scrolling', 'Historical', 'Fantasy', 'elves', 'Survival', 'Platform', 'Horror', 'Sandbox', 'Co-operative', 'Open world', 'sword & sorcery', 'Puzzle', 'Multiplayer', 'Action']","['zelda', 'motion controls', 'the legend of zelda']","The Legend of Zelda: Skyward Sword HD is a remaster of the 2011 game Skyward Sword that features enhanced graphics and frame rate. The game now has a standard resolution of 1080p, an intuitive auto-save function and a streamlined item description among other improvements. Born on an island suspended in the sky, a young man called Link accepts his destiny to venture to the world below to save his childhood friend Zelda after being kidnapped and brought to an abandoned land."
Unicorn Overlord,"['Atlus', 'Vanillaware']","['Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S']","['Real Time Strategy', 'RPG', 'Strategy', 'Fantasy', 'Warfare', 'Single player', 'elves', 'exploration']",[],"From the masterminds that brought 13 Sentinels: Aegis Rim and Odin Sphere, ATLUS x Vanillaware presents the rebirth of tactical fantasy RPG. Fight against fate and embark on a royal adventure to regain your reign alongside trustworthy allies.

Unicorn Overlord combines the timeless tactical RPG genre with overworld exploration and innovative battle system for a unique epic fantasy experience in the iconic Vanillaware style.

Traverse a vibrant world, assemble units and direct them into exquisitely animated battles. Perform heroic deeds and grow renown throughout the five nations. Cultivate a grand army with over 60 unique characters, from humans and elves to massive beasts and heavenly angels"
Grand Theft Auto III,"['TransGaming Inc.', 'Take-Two Interactive']","['PC (Microsoft Windows)', 'PlayStation 2', 'Xbox', 'Mac', 'PlayStation 4']","['immersive', 'Shooter', 'exploration', 'Simulator', 'multiple endings', 'Racing', 'Single player', 'Open world', 'Arcade', 'Multiplayer', 'Action', 'assassin', 'Sandbox', 'Co-operative', 'Stealth', 'Adventure', 'Comedy']","['drugs', 'organized crime', 'ps2', 'street racing', 'gangs', 'building', 'satire', 'gangster', 'crime', 'racism', 'economy', 'sequel', 'silent protagonist', 'day/night cycle', 'yakuza', 'sexual content', 'fake in-game advertising', 'save point', 'side quests', 'real-time combat', 'useable vehicles', 'vending machine interaction', 'mercenary', 'banned', 'in-game radio', 'controversy', 'poverty', 'new protagonist in sequel', 'anarchism', 'sociopathy', 'sex work', 'tailing mission', 'sports cars', 'notoriety system', 'ps2 classics', 'bully mode', 'game developers choice awards 2002']","Featuring a fully 3-D living city, a combination of narrative driven and non-linear gameplay and a completely open environment, Grand Theft Auto III represents a huge leap forward in interactive entertainment. For the first time, players are put at the heart of their very own gangster movie, and let loose in a fully-realised 3 dimensional city, in which anything can happen and probably will.

With a cast of hundreds, 50 plus vehicles, ranging from sports cars to ice cream trucks and from boats to buses, 3 hours of music, including opera, reggae, house, drum and bass, pop and disco, a huge array of street ready weapons and some of the seediest characters in video game history, Grand Theft Auto 3 is a sprawling epic which will show you that sometimes, crime can pay and sometimes it can pay you back. Available now for PlayStation2, Xbox, PC and Macintosh. You've been betrayed and left for dead. Now you're taking revenge, unless the city gets you first. Mob bosses need a favor, crooked cops need help and street gangs want you dead. You'll have to rob, steal and kill just to stay out of serious trouble. Anything can happen out here."
Fear & Hunger,"['Happy Paintings', 'Miro Haverinen']","['PC (Microsoft Windows)', 'Mac']","['Mystery', 'Indie', '2d', 'Fantasy', 'Historical', 'Survival', 'Single player', 'jrpg', 'Horror', 'turn-based', 'Sandbox', 'Science fiction', 'RPG']","['bloody', 'dark', '2d', 'dark fantasy', 'gore', 'atmospheric', 'survival horror', 'nudity', 'dungeon crawler', 'fear', 'sexual content', 'gore system', 'strategic dismemberment', 'roguelite', 'sexual themes', 'sexual violence', 'dungeon']","A dark fantasy survival horror RPG in which players must uncover the secrets of the dungeon of Fear & Hunger. Fear & Hunger is a horror dungeon crawler set in the dark and hopeless dungeons of fear and hunger. Four misfortuned adventurers dwell deeper and deeper to the darkness and uncover the secrets this ancient fortress holds inside. The fortress works as an ancient nexus for different planes of existence. The depths are in an eternal turmoil as both old and new gods struggle for power, it’s up to the players to choose their position and stance in all of this."
Devil May Cry 3: Dante's Awakening,"['Capcom', 'Capcom Production Studio 1']",['PlayStation 2'],"['Shooter', 'Fantasy', 'Puzzle', 'Single player', 'Platform', 'Multiplayer', 'Brawler', 'Action', 'Horror', 'assassin', 'Co-operative', 'female protagonist', 'Adventure']","['martial arts', 'bloody', 'chess', 'prequel', 'guitar playing', 'death', 'steam', 'backtracking', 'easter egg', 'teleportation', 'wall jump', 'rituals', 'boss fight', 'explosion', 'digital distribution', 'playstation trophies', '60 fps on consoles', 'voice acting', 'game title announcer', 'demon invasion', 'polygonal 3d', 'upgradeable weapons', 'original soundtrack release', 'unlockables', 'save point', 'ragdoll physics', 'male antagonist', 'infinite ammo', 'difficulty level', 'multi-phase boss', 'rpg elements', 'mercenary', 'no hud', 'recurring boss', 'unlockable difficulty level', 'game with chapters', 'vore', 'animation canceling', 'speedrun', 'valuable garbage', 'kill streak', 'not-so-bad guys', 'book adaptation', 'heterochromia', 'button mashing', 'in-game moves list', 'new game plus', 'dual wielding', 'surprising character switches', 'working for the enemy', 'superpowers', 'cutscene menu', 'sibling rivalry', 'satanism', 'demon hunter', 'acrobatics', 'counter system', 'anti-villain', 'playable boss', 'adapted to - anime', 'behind the waterfall', 'verticality', 'greatest hits', 'souls as currency', 'fury', 'jester', 'super mode', 'e3 2004', 'male protagonist']","Devil May Cry 3: Dante's Awakening is a prequel to the first Devil May Cry. The game plays very differently from its predecessors, as it puts much more emphasis on style rather than simple demon slaying. As such, combat is much more intense and faster than before. An all-new Style system that allows you to select your fighting style has also been incorporated. Set a decade before the events of the first Devil May Cry in an enchanted tower, Temen-ni-gru, the story centers on the dysfunctional relationship between Dante and his brother Vergil."
Paper Mario,"['Intelligent Systems', 'Gradiente']",['Nintendo GameCube'],"['2d', 'Fantasy', 'Turn Based Strategy', 'Single player', 'jrpg', 'Platform', 'Action', 'turn-based', 'Science fiction', 'Open world', 'RPG', 'Adventure', 'Comedy']","['ghosts', 'dinosaurs', 'gravity', 'detective', 'magic', 'mascot', 'turn-based', 'death', '2.5d', 'maze', 'cooking', 'backtracking', 'undead', 'princess', 'blocks', 'dialogue trees', 'slavery', 'easter egg', 'sequel', 'high score', 'yoshi', 'silent protagonist', 'bats', 'turtle', 'boss fight', 'anthropomorphism', 'platform exclusive', 'train level', 'alternate costumes', 'professional wrestler', 'leveling up', 'human', 'polygonal 3d', 'damsel in distress', 'upgradeable weapons', 'breaking the fourth wall', 'transforming boss', 'party system', 'collectibles', 'non-player character', 'save point', 'treasure chest', 'character growth', 'side quests', 'royalty', 'using dialogue to avoid combat', 'melee', 'secret area', 'unbeatable enemies', 'self-referential humor', 'parrot', 'violent plants', 'floating island', 'moving platforms', 'real-time waiting', 'villain', 'recurring boss', 'level cap', 'sleeping', 'tentacles', 'temporary invincibility', 'vore', 'boss assistance', 'evil organization', 'unskippable cutscene', 'fetch quests', 'not-so-bad guys', 'linear gameplay', 'gliding', 'boomerang bros.', 'kidnapping', 'poisoning', 'in-game e-mail', 'fire manipulation', 'resized enemy', 'surprising character switches', 'sleeping enemies', 'battle screen', 'hammer bros.', 'counter system', 'restoration', 'creature compendium', 'foreshadowing', 'moat', 'sealing your own fate', 'hidden room', 'dark second act', 'greatest hits', 'interactive battle system', 'ship deck battle', 'e3 2004', 'interactive achievement awards 2005', 'dinosaur riding', 'nintendo gateway system', 'interconnected-world']","Paper Mario, a turn-based JRPG entry in the Mario franchise with a paper-based aesthetic and platforming elements, sees the titular character working his way through the Mushroom Kingdom's diverse locales and biomes, meeting its inhabitants, fighthing unruly enemies and recruiting an array of companions in order to once again save Princess Peach from the clutches of the evil Koopa King Bowser."
The Binding of Isaac: Rebirth,"['Edmund McMillen', 'Nicalis', 'Inc.']",['PlayStation Portable'],"['Indie', 'Shooter', 'elves', 'multiple endings', 'Puzzle', 'Single player', 'Arcade', 'Multiplayer', 'Horror', 'Action', 'Drama', 'Co-operative', 'RPG', 'Adventure', 'Comedy']","['homebrew', 'unofficial', 'unofficial port']","The Binding of Isaac: Rebirth is a top down, procedurally-generated roguelike game, remade based on the original game The Binding of Isaac. You play as Isaac, a little boy who is chased to the basement by his mother who intends to kill Isaac for her savior. You explore different levels, collect items and try to defeat your mother.. and whatever other evil awaits you. If you die, you restart with none of your items you collected, and you must explore the basement and beyond again."
Ghost Trick: Phantom Detective,['Capcom'],"['PC (Microsoft Windows)', 'Android', 'iOS', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Adventure', 'Puzzle', 'Action', 'Single player']",[],"Ghost Trick: Phantom Detective is a puzzle/adventure game for the Nintendo DS and iOS. It was developed mainly by Shu Takumi, the man behind the Ace Attorney Series. Game's story centers on the protagonist Sissel, and his ghost's struggle to discover who he was when he was alive and who killed him. The player assumes the role of this ghost, who has the ability to perform various Ghost Tricks to solve puzzles and navigate the world around him."
Far Cry 4,"['Ubisoft Entertainment', 'Ubisoft Montreal']",['Xbox One'],"['Adventure', 'Shooter', 'Tactical', 'elves']",[],"In Far Cry 4, players find themselves in Kyrat, a wild region of the Himalayas struggling under the regime of a despotic self-appointed king. Using a vast array of weapons, vehicles and animals, players will write their own story across an exotic open-world landscape."
Middle-earth: Shadow of Mordor,"['Monolith Productions', 'WB Games']","['Linux', 'PC (Microsoft Windows)', 'PlayStation 3', 'Xbox 360', 'Mac', 'PlayStation 4', 'Xbox One']","['Adventure', 'Brawler', 'RPG', 'Action', 'Fantasy', 'Stealth', 'Open world', 'Single player', 'elves', 'multiple endings', 'assassin', 'medieval', 'sword & sorcery']","['ghosts', 'assassin', 'hunting', 'orcs', 'medieval', 'immortality', 'dystopian', 'tolkien', 'elves', 'horse', 'action-adventure', 'steam', 'based on - movie', 'achievements', 'multiple endings', 'traps', 'steam trading cards', 'based on - book', 'wolf', 'snake', 'over the shoulder', 'teleportation', 'dwarves', 'slow-motion', 'resurrection', 'good vs evil', 'climbing', 'bats', 'sword & sorcery', 'possession', 'one-man army', 'darkness', 'trolls', 'explosion', 'steam achievements', 'digital distribution', 'xbox controller support for pc', 'single-player only', 'steam cloud', 'playstation trophies', 'world map', 'voice acting', 'bink video', 'human', 'polygonal 3d', 'bow and arrow', 'damsel in distress', 'goblins', 'rat', 'photo mode', 'original soundtrack release', 'motion blur', 'wasd movement', 'sprinting mechanics', 'saving the world', 'moral decisions', 'downloadable content', 'real-time combat', 'steam play', 'pax prime 2013', 'rpg elements', 'e3 2014', 'pax prime 2014', 'gamescom 2014', 'skill tree', 'interquel', 'stealth kill', 'd.i.c.e. awards 2015', 'tower reveals map', 'in-engine cinematic', 'women in refrigerators syndrome', 'crow', 'detective mode', 'counter system', 'freeform combat', 'indie royale', 'game developers choice awards 2015', 'flower picking', 'a.i. construct', 'sneaking mission', 'corruption', 'plane shifting', 'reluctant hero', 'shadow stealth', 'lgbtq+', 'male protagonist', 'auto runner', 'cloud gaming']","Middle-earth: Shadow of Mordor is a open world third-person action role-playing video game developed by Monolith Productions and published by Warner Bros. Interactive Entertainment, which takes place in the world of J.R.R. Tolkien's Legendarium.

The game takes place in the 60-year gap between the events of Tolkien's The Hobbit and The Lord of The Rings. It is a story of revenge, slaughter, and mystery set entirely in Mordor, the Land of Shadows. At its center is Talion, an ordinary man who loses everything, including his mortal life.

The game is set in a fully open world, and features various role-playing game elements such as experience points and skills. There are various ways the player can complete their main objective. Aside from the main storyline, there are various side quests and random events the player can complete within Mordor.

The melee system is inspired by that of the Batman Arkham series. Getting into a good fighting rhythm, using both regular attacks and counter-attacks will improve the player's combo multiplier.

A unique feature of Middle-earth: Shadow of Mordor is the Nemesis system. Every enemy in the game has their own name, rank, and memory. These enemies will continue to do their own jobs and tasks even when they're off screen. If the player does not kill an enemy in an encounter, this enemy will remember the player and change their tactics and conversations based on the encounter. You are Talion, a Ranger of the Black Gate, keeping watch over Mordor which has remained undisturbed for ages. In the blink of an eye, everything is taken from you – your friends, your family, and even your own life. Resurrected by a mysterious vengeful spirit, you must now embark on a relentless vendetta against those who have wronged you."
The Sims 4,"['Electronic Arts', 'Maxis']","['PC (Microsoft Windows)', 'Mac']","['RPG', 'Simulator', 'Fantasy', 'Comedy', 'Sandbox', 'Romance', 'Single player', 'character customization', 'immersive']","['life simulation', 'casual', 'character customization', 'cute', 'building', 'funny', 'relaxing', 'bundle', 'family friendly', 'realism', 'immersive']","Unleash your imagination and create a unique world of Sims that's an expression of you! Explore and customize every detail from Sims to homes, and much more with The Sims 4. Life, and Sims, are yours to control. Customize your unique Sims, design their homes & take them on wild adventures through celebdom, romance, holidays and more."
Pokémon Sword,"['Game Freak', 'Nintendo']",['Nintendo Switch'],"['Adventure', 'RPG', 'Turn Based Strategy', 'Fantasy', 'Open world', 'Single player', 'Multiplayer']","['creature compendium', 'creature collector']","Unsheathe your sword and take up your shield!

The world of Pokémon expands to include the Galar region in Pokémon Sword and Pokémon Shield!"
Soma,['Frictional Games'],"['Linux', 'PC (Microsoft Windows)', 'Mac', 'PlayStation 4', 'Xbox One']","['Adventure', 'Indie', 'Puzzle', 'Action', 'Science fiction', 'Horror', 'Stealth', 'Mystery', 'Single player', 'post-apocalyptic']","['post-apocalyptic', 'bloody', 'underwater', 'shark', 'robots', 'steam', 'backtracking', 'time limit', 'atmospheric', 'camera', 'survival horror', 'nudity', 'darkness', 'steam achievements', 'single-player only', 'steam cloud', 'countdown timer', 'playing cards', 'steam workshop', 'voice acting', 'famous quotes', 'polygonal 3d', 'mouse', 'aquatic', 'wasd movement', 'white noise', 'color separation', 'non-player character', 'profanity', 'fake in-game advertising', 'corpse', 'sprinting mechanics', 'moral decisions', 'vision obstruction', 'fake glitch', 'jump scare moment', 'audio logs', 'inconvenient malfunction', 'crab', 'evolving title screen', 'surveillance camera', 'car accident', 'plot twist', 'scripted events', 'vent crawling', 'in-game e-mail', 'first-person platforming', 'guided by radio', 'context sensitive', 'outside of the map', 'foreshadowing', 'crane puzzle', 'ghostly manifestation', 'flash drive', 'male protagonist']","Soma is a sci-fi horror game from Frictional Games, creators of the groundbreaking Amnesia and Penumbra series.

The radio is dead, food is running out, and the machines have started to think they are people. Underwater facility Pathos-II has suffered an intolerable isolation and we’re going to have to make some tough decisions. What can be done? What makes sense? What is left to fight for? Soma is a sci-fi horror game from Frictional Games, the creators of Amnesia: The Dark Descent. It is an unsettling story about identity, consciousness, and what it means to be human. The radio has gone silent on PATHOS-2. As isolation bears down on the staff of the remote research facility, strange things are happening.

Machines are taking on human traits and alien constructions have started to interfere with routine. The world around them is turning into a nightmare.

The only way out is to do something unimaginable."
OneShot,"['DANGEN Entertainment', 'Future Cat']",['PC (Microsoft Windows)'],"['Adventure', 'Indie', 'Puzzle', 'RPG', 'Action', 'Single player']",[],"In this Puzzle/Adventure game you must guide Niko through a mysterious world, utilizing items, characters, and the environment to progress. The life of a lost child and the fate of a steadily decaying world hang in balance, and not everyone—or everything—is interested in preserving them either."
The Outer Worlds,"['Obsidian Entertainment', 'Private Division']","['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Xbox Series X|S']","['Adventure', 'RPG', 'Shooter', 'Action', 'Science fiction', 'Open world', 'Single player', 'character customization', 'aliens']","['aliens', 'character customization', 'first person shooter', 'space', 'customizable characters', 'character creation', 'rpg elements']","The Outer Worlds is a new single-player sci-fi RPG from Obsidian Entertainment and Private Division. As you explore the furthest reaches of space and encounter a host of factions all vying for power, who you decide to become will determine the fate of everyone in Halcyon. In the corporate equation for the colony, you are the unplanned variable. In The Outer Worlds, you awake from hibernation on a colonist ship lost in transit to its destination on the edge of the galaxy, only to find yourself in the midst of a deep conspiracy threatening to destroy the colony. As you explore the furthest reaches of space and encounter various factions, all vying for power, the character you decide to become will determine how this player-driven story unfolds.

Lost in transit while on a colonist ship bound for the furthest edge of the galaxy, you awake decades later than you expected only to find yourself in the midst of a deep conspiracy threatening to destroy the Halcyon colony. As you explore the furthest reaches of space and encounter a host of factions all vying for power, who you decide to become will determine the fate of everyone in Halcyon. In the corporate equation for the colony, you are the unplanned variable.

Welcome to the future - try not to break it."
Heavy Rain,"['Quantic Dream', 'Sony Computer Entertainment']","['PC (Microsoft Windows)', 'PlayStation 3', 'PlayStation 4']","['Adventure', 'Action', 'Thriller', 'Drama', 'Mystery', 'Single player', 'multiple endings', 'exploration', 'female protagonist']","['modern warfare', 'rail shooter', 'helicopter', 'exploration', 'bloody', 'psychological thriller', 'serial killer', 'detective', 'interactive fiction', 'murder', 'drugs', 'first person shooter', 'quick-time events', 'death', 'military', 'permadeath', 'cinematic', 'female protagonist', 'action-adventure', 'noir', 'multiple protagonists', 'multiple endings', 'artificial intelligence', 'on-rails', 'dialogue trees', 'crime', 'torture', 'mud', 'amnesia', 'nudity', 'pizza', 'hide and seek', 'boss fight', 'explosion', 'single-player only', 'platform exclusive', 'playstation trophies', 'modern military', 'clowns', 'voice acting', 'ranking system', 'bink video', 'human', 'polygonal 3d', 'rat', 'playstation move support', 'original soundtrack release', 'non-player character', 'profanity', 'playstation experience 2015', 'moral decisions', 'morale', 'branching storyline', 'auto-saving', 'betrayal', 'unreliable narrator', 'robbery', 'depression', 'canonical death', 'destructible environment', 'bribery', 'addiction', 'leaderboard', 'no hud', 'split screen event', 'film noir', 'invisible wall', 'suicide', 'hallucination', 'realism', 'car accident', 'motion capture animation', 'high definition graphics', 'plot twist', 'quick time event', 'unskippable tutorial', 'not-so-bad guys', 'meme origin', 'agents', 'overweight character', 'kidnapping', 'aggressive door-opening', 'surprising character switches', 'character models based on actual people', 'aquarium', 'dream sequence', 'new purchase incentives', 'missing relative', 'context sensitive', 'reversible cover art', 'sociopathy', 'sex work', 'playstation home tie-in', 'tragic hero', 'heroic sacrifice', 'dark past', 'greatest hits', 'wii zapper compatibility', 'cold open', 'surgery in game', 'tank controls', 'inner-thoughts world', 'pax prime 2010', 'sixaxis support', 'forensics', 'initial install', 'interactive achievement awards 2011', 'uncanny valley', 'e3 2009', 'tokyo game show 2009', 'pax 2009', 'gamescom 2009', 'e3 2006', 'rogue cop', 'david cage', 'sexual themes']","Heavy Rain is a cinematic psychological thriller from game developer Quantic Dream exclusively for the PlayStation 3. Dealing with a range of adult themes, the game revolves around a sophisticated plot and strong narrative threads that explore a complex moral proposition. You assume the role of multiple characters with very different backgrounds, motivations, and skills in a world where each player decision affects what will follow. The game focuses on four different characters; Ethan Mars, a father and main protagonist; Scott Shelby, a private eye; Norman Jayden, an FBI agent and finally Madison Paige, a photojournalist. They are very different characters and do not know each other at the game's point, but are all connected in the sense that they all have interest in the game's main antagonist, the Origami Killer."
Yume Nikki,"['PLAYISM', 'Kikiyama']","['PC (Microsoft Windows)', 'Web browser']","['Adventure', 'Indie', 'Horror', 'Single player', 'exploration', 'female protagonist']","['ghosts', 'exploration', 'bloody', 'psychological exploration', 'minigames', 'frog', 'maze', 'time manipulation', 'spaceship', 'female protagonist', 'insanity', 'steam', 'freeware', 'walking simulator', 'abstract', 'pixel art', 'snow', 'pixel graphics', 'dreams', 'free-to-play', 'surreal horror', 'dream world', 'darkness', 'digital distribution', 'anthropomorphism', 'cat', 'white noise', 'save point', 'fake glitch', 'vending machine interaction', 'video game characters that play video games', 'wraparound world', 'suicide', 'game console', 'severed limbs', 'dream sequence']","Yume Nikki is a 32-Bit freeware game created by Kikiyama, a Japanese solo game designer. The game was made using RPGMaker 2003. The game is regarded as one of the most original applications of RPGMaker 2003, and the start of a possible new genre of games.

""Yume Nikki"" means ""Dream Diary"" in Japanese, and the game follows a young girl named Madotsuki as she dreams. The goal is to seek out and acquire all 24 'Effects'.

The game otherwise has no plot, and nearly the entire game is left up to speculation. The story of Yume Nikki is mostly up to the player's interpretation. All we know for sure is that Madotsuki, the game's silent protagonist, lives alone in her apartment which she refuses to leave and which contains a desk, a single Famicom game console, a balcony, and, most importantly, a bed. Upon going to bed, Madotsuki explores her dreams, a surreal world full of illogically connected, smaller worlds to gather ""effects."" What exactly these dreams and effects represent in Madotsuki's personal life is, again, up to interpretation. Even Madotsuki's name, a name that isn't a real name in Japan, is entirely up to interpretation."
The Great Ace Attorney Chronicles,['Capcom'],"['PC (Microsoft Windows)', 'PlayStation 4', 'Nintendo Switch']","['Adventure', 'Point-and-Click', 'Puzzle', 'Visual Novel', 'Historical', 'Comedy', 'Drama', 'Mystery', 'Single player']",['detective mode'],"This bundle is ""The Great Ace Attorney: Adventures"" and ""The Great Ace Attorney 2: Resolve"" in one package.

Play as Ryunosuke Naruhodo, ancestor of Phoenix Wright, to solve mysteries and defend clients with the ace detective Herlock Sholmes across both England and Japan. Set in late 19th century Japan and England, each title features five murder-mystery episodes filled with all the drama, laughs, twists, and ""turnabouts"" you've come to expect from the legally labyrinthine legacy of Ace Attorney. Join Ryunosuke Naruhodo, ancestor of series mainstay Phoenix Wright, as he attempts to uncover the secrets behind an international criminal conspiracy and solve a hauntingly baffling cold case, while tackling a series of tricky trials along the way."
Final Fantasy XIII,"['Square Enix Product Development Division 1', 'Square Enix']","['PC (Microsoft Windows)', 'PlayStation 3', 'Xbox 360']","['multiple endings', 'aliens', 'Single player', 'post-apocalyptic', 'assassin', 'Science fiction', 'Strategy', 'female protagonist', 'RPG', 'anime', 'Tactical', 'Warfare', 'Drama', 'Adventure', 'Historical', 'Fantasy', 'elves', 'Turn Based Strategy', 'Survival', 'Brawler', 'Sandbox', 'Co-operative', 'Open world', 'sword & sorcery', 'jrpg', 'difficult', 'Multiplayer', 'Action', 'turn-based']","['magic', 'summoning support', 'jrpg', 'military', 'female protagonist', 'steam', 'multiple protagonists', 'party-based combat', 'achievements', 'steam trading cards', 'gods', 'steam achievements', 'digital distribution', 'single-player only', 'steam cloud', 'playstation trophies', 'corrupt government', 'polygonal 3d', 'party system', 'motion blur', 'profanity', 'side quests', 'real-time combat', 'active time battle', 'mercenary', 'floating island', 'motion capture animation', 'cutscene pause', 'linear gameplay', 'androgyny', 'agents', 'women in refrigerators syndrome', 'victory music', 'petrification', 'playstation home tie-in']","As a deepening crisis threatens to plunge the floating world of Cocoon into chaos, a band of unsuspecting strangers find themselves branded enemies of the state. With the panicking population baying for their blood, and the military all too happy to oblige, they have no choice but to run for their lives. Join them on a desperate quest to challenge the forces controlling their fate, and prevent untold destruction.

Featuring an unforgettable storyline, a battle system blending action and strategy, cutting-edge visuals and awe-inspiring cinematic sequences, FINAL FANTASY XIII delivers the next step in the evolution of gaming."
Pokémon X,"['The Pokémon Company', 'Game Freak']",['Nintendo 3DS'],"['Adventure', 'Turn Based Strategy', 'Fantasy', 'Science fiction', 'Open world', 'Single player', 'Multiplayer', 'anime', 'jrpg', 'turn-based']","['anime', 'monsters', 'collecting', 'manga', 'turn-based', 'jrpg', 'trading']","An all-new 3D Pokemon adventure packed with never-before-seen Pokemon will launch worldwide in October 2013. Pokemon X and Pokemon Y will present a new generation of Pokemon, and introduce players to an exciting new adventure in a breathtaking 3D world."
